step	model_saving_score
0	0.22994688418659334
1	0.4770247643032758
2	0.46208302197935497
3	0.5168974298735588
4	0.47273608337950546
5	0.5592355305528939
6	0.45218645453377926
7	0.35619323234922995
8	0.4131737503993196
9	0.32676095038446834
10	0.28230997049220735
11	0.38201909863253247
12	0.5079683374136434
13	0.3800535802671529
14	0.4369698400075141
15	0.29925061815571413
16	0.512777742427709
17	0.5761802464431527
18	0.45719890127127316
19	0.5869363071114919
20	0.45727142118596853
21	0.5303558855178752
22	0.4929392437389444
23	0.31852985719305327
24	0.4658762645019096
25	0.48115612339392017
26	0.5768010926897318
27	0.5689330843023677
28	0.3962106017206987
29	0.43150843866392957
