iter	Logloss
0	0.6676200275
1	0.6450613885
2	0.6247579188
3	0.6076912556
4	0.5932431731
5	0.5802889078
6	0.5706083769
7	0.5616077052
8	0.5516110358
9	0.5434066818
10	0.5365072312
11	0.5302822349
12	0.5235731961
13	0.5185314647
14	0.5141852272
15	0.5101846736
16	0.5058291322
17	0.5025238268
18	0.498076977
19	0.4955605664
20	0.4922269829
21	0.489961482
22	0.4860313811
23	0.4835115872
24	0.4813018014
25	0.4782671088
26	0.4754362253
27	0.4730975363
28	0.4709467024
29	0.4691937374
30	0.4672256428
31	0.4654968961
32	0.4632631303
33	0.461836339
34	0.4608806015
35	0.4594594548
36	0.4580041489
37	0.4567859942
38	0.4554465547
39	0.4531304466
40	0.4514834477
41	0.4509078239
42	0.449284553
43	0.4480613239
44	0.4466675304
45	0.4447464281
46	0.4433901675
47	0.4423539962
48	0.4407363385
49	0.4393616731
