iter	Passed	Remaining
0	4	221
1	8	206
2	12	193
3	16	188
4	20	183
5	25	185
6	29	180
7	33	174
8	37	169
9	41	164
10	44	159
11	49	155
12	52	150
13	57	147
14	61	142
15	64	138
16	68	133
17	73	129
18	77	126
19	81	121
20	84	116
21	88	112
22	92	108
23	96	104
24	100	100
25	104	96
26	108	92
27	112	88
28	117	84
29	120	80
30	124	76
31	129	72
32	132	68
33	136	64
34	140	60
35	144	56
36	149	52
37	153	48
38	157	44
39	162	40
40	165	36
41	170	32
42	174	28
43	177	24
44	182	20
45	185	16
46	189	12
47	193	8
48	197	4
49	201	0
