,img_id,areakm2_BA,nbr_p25_variance_p25,nbr_p25_variance_p5,nbr_p25_variance_p50,nbr_p25_variance_p75,nbr_p25_variance_p95,nbr_p25_variance_p99,nbr_p50_variance_p25,nbr_p50_variance_p5,nbr_p50_variance_p50,nbr_p50_variance_p75,nbr_p50_variance_p95,nbr_p50_variance_p99,nbr_p5_variance_p25,nbr_p5_variance_p5,nbr_p5_variance_p50,nbr_p5_variance_p75,nbr_p5_variance_p95,nbr_p5_variance_p99,nbr_p75_variance_p25,nbr_p75_variance_p5,nbr_p75_variance_p50,nbr_p75_variance_p75,nbr_p75_variance_p95,nbr_p75_variance_p99,nbr_p95_variance_p25,nbr_p95_variance_p5,nbr_p95_variance_p50,nbr_p95_variance_p75,nbr_p95_variance_p95,nbr_p95_variance_p99,nbr_p99_variance_p25,nbr_p99_variance_p5,nbr_p99_variance_p50,nbr_p99_variance_p75,nbr_p99_variance_p95,nbr_p99_variance_p99
0,LC08_167079_20190805,0.0,0.0047493451517880095,0.0013409671724656297,0.026343719988280716,0.12018205675249743,0.19631038077117272,0.24501107696894037,0.004366205590102673,0.0014888697792463756,0.024878752380732783,0.096181335516747,0.14208593875152023,0.1733224989116884,0.00475747285733661,0.0013450979858052195,0.026355263187580254,0.12018824354421388,0.19633223992958854,0.2450529327355584,0.004838183817794023,0.0011042980511670028,0.032210839958368785,0.1376699578472873,0.19432626425411986,0.2255818000713628,0.004828198475320772,0.0011011578514801392,0.03418021919473161,0.14352634502909378,0.20210339664978275,0.22961035104876948,0.004827161662454113,0.0011009445606302037,0.03417508878316751,0.14352634502909378,0.20210339664978275,0.22961035104876948
1,LC08_167079_20190821,0.0,0.004823527234475887,0.0013205065229262487,0.010693902639352312,0.16307652130140807,0.21574391013451766,0.25676811381667036,0.0048426016799567465,0.001301195137876054,0.012617723511514085,0.14939516803876135,0.18850643572258247,0.21377304280489792,0.004822690112549058,0.0013300903975376301,0.010687147398890234,0.16307540408689344,0.21575708226844742,0.25676811381667036,0.004864788633279834,0.002941230027745267,0.01656218767258086,0.16504120463583932,0.2255271897386474,0.26074264897306504,0.004864202791925721,0.002947348850086762,0.01656529429920092,0.16504749675235844,0.22754156565619263,0.2607234844878548,0.004864089952915189,0.0029470974692701866,0.016564970537982105,0.16504749675235844,0.22754156565619263,0.2607234844878548
2,LC08_167080_20190805,0.0,0.004831847729462543,0.0011602421193058251,0.022422156774402416,0.12401117993874523,0.17867028971739973,0.2214364327232385,0.006820757452803268,0.0011606304598553159,0.032240401510559166,0.11032929040798645,0.15912710791266582,0.19427174833929348,0.004843086856778444,0.0011570188198647864,0.022434925695357797,0.1240159439802481,0.1805557376206624,0.22146090994319728,0.010772857630387786,0.0010703482586907548,0.044051732230796135,0.12987980740377225,0.18647853833915942,0.21385931599239805,0.010769309158195794,0.001070087538351406,0.04592702354395935,0.13774137883862833,0.18845023573075254,0.2138643637324544,0.010767898106078524,0.0010702476070288903,0.04592702354395935,0.13773748702568647,0.18845023573075254,0.2138643637324544
3,LC08_167080_20190821,0.0,0.004845007278554883,0.0013065396619371553,0.01657765211915805,0.045873442555146984,0.17489277288430866,0.20797286217349117,0.006818514731326107,0.0012772084055118604,0.01656829379881864,0.06934568434815692,0.17868080342689258,0.21778400780032958,0.004863978967598614,0.0013136885661685067,0.016566316976802338,0.04584449721727684,0.17490239284434364,0.20796814182691317,0.008782123374488613,0.0012631081017772515,0.026312495283917516,0.1338099381644092,0.2275063013013415,0.28407493191130373,0.008788562787404381,0.0012690059148208139,0.02826159667263239,0.13961223306684667,0.2294688087920255,0.2861914801093747,0.008788455369170403,0.0012692351411207252,0.02826250220315698,0.13961223306684667,0.2294688087920255,0.2861914801093747
4,LC08_167081_20190805,0.0,0.03220145783972218,0.00875416802912278,0.11816798099749254,0.16306722734595072,0.22755300994762556,0.2726717156238566,0.040012004223250255,0.008737457888971819,0.11230530165179142,0.1493683506824872,0.206151910023571,0.25090217243102936,0.03219219366528766,0.008728002767886205,0.1182134349218139,0.16307846039105475,0.22755411518253785,0.2726506265480033,0.06734174734575184,0.012716710497366564,0.13372544604851896,0.1708833237180381,0.24317339638908783,0.29391564427849326,0.06932332806798311,0.012715820160959778,0.13962954469212843,0.1748095001505374,0.2529419936242236,0.29988423939832093,0.06932332806798311,0.012715820160959778,0.13962526524269642,0.17480762903436367,0.2529419936242236,0.29988423939832093
5,LC08_167081_20190821,0.0,0.022478814589551414,0.0107941395933826,0.03415639043750061,0.07327992638478147,0.16305694232545723,0.20024818772230998,0.022444809547632193,0.010833085103546242,0.05172795809322527,0.08886187898704066,0.16895630258027713,0.21180309392806018,0.020522115294692448,0.008833749533548905,0.03416357404506468,0.07130684769104774,0.1630986409252195,0.20024818772230998,0.05374180196392548,0.0166591580394881,0.12399806577488767,0.17476852657984365,0.2451782781760777,0.28024095639518704,0.0731678065194985,0.01663470500008824,0.13182134295425119,0.18072038548002609,0.26071899948692806,0.29982055889544584,0.0731678065194985,0.01663333372331401,0.1318175973452005,0.1807170885605103,0.26071899948692806,0.29982055889544584
6,LC08_168076_20190812,0.0,0.0014372873348475342,0.0006587255723745524,0.0024035393836794442,0.004372313536902049,0.010228938125558579,0.017037873073088048,0.0005845621095372775,0.0005845621095372775,0.0014127912406239175,0.0033880175869952537,0.00828168925284815,0.014162385002307976,0.0014398735466652208,0.0006644186287220338,0.0024030308089138426,0.004368893762490977,0.010231263825624407,0.017004494479788364,0.000517762083747048,0.000517762083747048,0.0014015758150723921,0.002398279893068496,0.007297497380336061,0.014173242644989172,0.0008334806583375634,0.0008334806583375634,0.0008334806583375634,0.0027699921261766436,0.0067318965572587194,0.01459319066166951,0.0008334769638051827,0.0008334769638051827,0.0008334769638051827,0.0027700007981299145,0.0067318478642107325,0.01459319066166951
7,LC08_168076_20190828,0.0,0.002419261875522884,0.0007242667967789685,0.003393252291841624,0.00828575455646494,0.019036572760328673,0.029707425636266854,0.0014497577010813825,0.0007002028740126818,0.0024042932245545642,0.004362500281772709,0.008261320197058249,0.014123829665511659,0.0024178674259470578,0.0007252881325858521,0.0033898498618037225,0.00828110191363262,0.020016347499270785,0.029738626898940176,0.001440263152526422,0.0007158647128575013,0.0023957904824998934,0.003374595232706158,0.009257275766637731,0.015106308348987909,0.001441346020987514,0.000718330321166181,0.0023955534236061796,0.0033754983134031613,0.009253114795102192,0.016084414829252713,0.0014413493137371066,0.0007182978890757797,0.002395549842557966,0.0033754839802995185,0.009253114795102192,0.016084414829252713
8,LC08_168077_20190812,0.0,0.0014352569636763592,0.0006578481477041781,0.0024104818603394814,0.004357508193362643,0.012175630775068596,0.02196277953881954,0.0005399481407417679,0.0005399481407417679,0.0014177158922775062,0.003380191662227079,0.008261394925562805,0.01906074507689164,0.0014338501835459382,0.0006608048247364746,0.0024076759863228656,0.005351892436852328,0.012165555529565806,0.021938181914376582,0.00044528946577118467,0.00044528946577118467,0.0014057724415011583,0.0023959912112666085,0.007286843679948555,0.021088823404290465,0.0007196051705171963,0.0007196051705171963,0.0007196051705171963,0.0027694514220572447,0.006725282224162429,0.02047661496665193,0.0007196411841396588,0.0007196411841396588,0.0007196411841396588,0.002769260417575874,0.006724925042449142,0.02047661496665193
9,LC08_168077_20190828,0.0,0.002421664654142503,0.0006811324842665985,0.004373131341961921,0.009276067006737509,0.02099637977799981,0.030809979810913612,0.0014500770775292915,0.0006173111077244594,0.002411964657798359,0.004358724141912417,0.009258653317569492,0.01911668020150574,0.0024240509750091226,0.0006856162915727399,0.0043707611442031944,0.00927702631063977,0.02100224179717234,0.03169607988298481,0.0014348220349720048,0.0006370521490165585,0.002406021173960947,0.00436250409520129,0.010260112240063492,0.021034621597721074,0.0014346623146169882,0.0006411436878734532,0.0024066427410381576,0.004360136704143884,0.01025241246131764,0.021045202780863713,0.0014345818729128953,0.0006411328557265154,0.0024064693144385525,0.0043600426296505,0.010252589556008468,0.021045202780863713
10,LC08_168078_20190812,0.0,0.001701959620411241,0.0007498581193680436,0.002676971868448082,0.00560468286000648,0.01686484508200724,0.03100945747347817,0.001207470991229071,0.00031655168001701794,0.002187009355449872,0.004142796027593498,0.014402568948858274,0.02855623424867432,0.0017041605220911988,0.0007505849431653437,0.0031689118161001856,0.005603659735038944,0.016859885541933597,0.031018548557664446,0.0007217581696579153,0.00029258120312131733,0.0016987905970305996,0.004136393794673003,0.01490844078441084,0.03000883916765545,0.0007200406507064603,0.00029192275003984833,0.0016988719083177771,0.0041379033326720506,0.014893954425630686,0.0305361552144434,0.0007200555976638854,0.00029192939223758504,0.0016987765619534078,0.004138084371085115,0.014893954425630686,0.0305361552144434
11,LC08_168078_20190828,0.0,0.0017037999006492826,0.0007495643857564475,0.00365164072189936,0.0070746498487966715,0.01930980985912788,0.03293480261861641,0.0017073846742461463,0.0007527039988125962,0.003168717445764648,0.006093122336111731,0.01585526474084354,0.029506584735952815,0.0017058997428049626,0.0007493786935453787,0.003652193134094454,0.007077704039623057,0.019780848460494466,0.03293742238115241,0.0017098506559913285,0.0007510518396528875,0.0036529459774067613,0.006587245040552513,0.01732341018060573,0.031000942418402146,0.002190134703959375,0.0007498217352458818,0.0036500044907088517,0.0065884260461990165,0.017338113190450585,0.03101812673620992,0.0021900747423148252,0.0007498923585056909,0.003649913074690278,0.006588003911066239,0.017338113190450585,0.03101134869010863
12,LC08_168079_20190812,0.0,0.001210482722499883,0.0003438038137076907,0.0016976581984692466,0.004144455341448345,0.013920234205391822,0.02901313208297512,0.0007223508152763642,0.00032514467344702636,0.0012049838528454307,0.0026736955744068726,0.011006061830986078,0.026657216717630855,0.0012112620986206852,0.0003454900145011716,0.0016980900653608432,0.004144544711679736,0.014393024249191184,0.029555714820786887,0.00029315615750760677,0.00029315615750760677,0.0012012110396579544,0.0026724498961986235,0.011960680239464859,0.02756751715426796,0.0002909439411306329,0.0002909439411306329,0.001201188629025587,0.0026745880601998233,0.011962010148293456,0.027564273098020297,0.0002909133424095334,0.0002909133424095334,0.0012013190313252058,0.0026743265707352727,0.011962679336997854,0.027564273098020297
13,LC08_168079_20190828,0.0,0.0012206043760323853,0.0007471100960945032,0.002185876830202664,0.004638263930129438,0.014415723223749743,0.02760115408520244,0.0012242748143883847,0.0007587513360110486,0.002183936693605104,0.003647537299688858,0.011472685771261962,0.023688038775643728,0.001219913618363599,0.0007478749878765882,0.002185298511472364,0.004640338728788085,0.014412044094707609,0.027569292048833845,0.0017083958129960452,0.0007609779317359596,0.002672767303512275,0.004136210855281804,0.013901530558857554,0.028107325192400646,0.0017105155588625757,0.0007595074779608051,0.0026728032865771714,0.004622916638393419,0.013905851059588501,0.028567575752209282,0.00171050837367004,0.0007595074779608051,0.002672923000937018,0.004623063534810691,0.013905851059588501,0.028567575752209282
