,id,BurnDate,BurnYear,fireRisk,x,y,risk,date,clusters,start_date,end_date,duration,img_id,areakm2_BA,nbr__p25_variance_p25,nbr__p25_variance_p5,nbr__p25_variance_p50,nbr__p25_variance_p75,nbr__p25_variance_p95,nbr__p25_variance_p99,nbr__p50_variance_p25,nbr__p50_variance_p5,nbr__p50_variance_p50,nbr__p50_variance_p75,nbr__p50_variance_p95,nbr__p50_variance_p99,nbr__p5_variance_p25,nbr__p5_variance_p5,nbr__p5_variance_p50,nbr__p5_variance_p75,nbr__p5_variance_p95,nbr__p5_variance_p99,nbr__p75_variance_p25,nbr__p75_variance_p5,nbr__p75_variance_p50,nbr__p75_variance_p75,nbr__p75_variance_p95,nbr__p75_variance_p99,nbr__p95_variance_p25,nbr__p95_variance_p5,nbr__p95_variance_p50,nbr__p95_variance_p75,nbr__p95_variance_p95,nbr__p95_variance_p99,nbr__p99_variance_p25,nbr__p99_variance_p5,nbr__p99_variance_p50,nbr__p99_variance_p75,nbr__p99_variance_p95,nbr__p99_variance_p99,25_variance_p25,25_variance_p5,25_variance_p50,25_variance_p75,25_variance_p95,25_variance_p99,50_variance_p25,50_variance_p5,50_variance_p50,50_variance_p75,50_variance_p95,50_variance_p99,5_variance_p25,5_variance_p5,5_variance_p50,5_variance_p75,5_variance_p95,5_variance_p99,75_variance_p25,75_variance_p5,75_variance_p50,75_variance_p75,75_variance_p95,75_variance_p99,95_variance_p25,95_variance_p5,95_variance_p50,95_variance_p75,95_variance_p95,95_variance_p99,99_variance_p25,99_variance_p5,99_variance_p50,99_variance_p75,99_variance_p95,99_variance_p99
760239.0,760239.0,217,2020,6555.0,27.363805770874023,-33.346588134765625,Low,2020-08-04,2,2020-08-04,2020-08-20,17,LC08_170083_20200812,43.79763787500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016739173563854659,0.0016739173563854659,0.0016739173563854659,0.01756852177865777,0.060489485161505895,0.10347034381380137,0.000926983822812141,0.000926983822812141,0.002792772904154875,0.01464412056757456,0.06737214435603783,0.10252696133099054,0.0016891406909325158,0.0016891406909325158,0.0016891406909325158,0.01756984800439953,0.060489825305447054,0.10739645547348342,0.001443509733772457,0.001443509733772457,0.001443509733772457,0.021484816545214887,0.1464853056060157,0.24410146627450502,0.0014406712309732277,0.0014406712309732277,0.0014406712309732277,0.021484385211555112,0.18945242371868593,0.25974322420689056,0.0014406844062529545,0.0014406844062529545,0.0014406844062529545,0.021484406642131592,0.18945242371868593,0.25974322420689056
508783.0,508783.0,231,2020,6555.0,27.63330078125,-32.897430419921875,Low,2020-08-18,10,2020-08-09,2020-08-22,14,LC08_169083_20200821,18.6654791296262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018154561940362337,0.0018154561940362337,0.021509252745787456,0.0565914709105776,0.2441307400875672,0.33785290050026745,0.0017644939963622557,0.0017644939963622557,0.009600888249705107,0.05270848596261294,0.2245954178379471,0.3144346047030755,0.0018480135987873712,0.0018480135987873712,0.021502885757274347,0.056596380622549416,0.24413283646875605,0.3378516623663509,0.0013897020546539524,0.0013897020546539524,0.017517751593907664,0.09569561558216541,0.24020990515493137,0.341789756009265,0.0013891115003604468,0.0013891115003604468,0.0175138741478939,0.09961164772489808,0.2441087742419269,0.34178620687711003,0.001389114028094958,0.001389114028094958,0.017513872515274483,0.0996116793149426,0.24410867756673107,0.3417864001921729
571251.0,571251.0,224,2020,7692.0,28.506912231445312,-32.504417419433594,Extreme,2020-08-11,30,2020-08-01,2020-08-13,13,LC08_169082_20200805,217.003792219962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017377414045596225,0.0017377414045596225,0.0017377414045596225,0.009466061204320763,0.13083053374755244,0.20498265853336597,0.0009753746048933082,0.0009753746048933082,0.0027390974169129874,0.0067433680485540605,0.12011128253895383,0.18455451280867116,0.001749360836399164,0.001749360836399164,0.001749360836399164,0.009452962381957036,0.13083120483464092,0.2049931370604461,0.0013293852480883942,0.0013293852480883942,0.0013293852480883942,0.009539987399831274,0.13085724644198082,0.18547642949185567,0.0008983515996122662,0.0008983515996122662,0.0027373762454102448,0.008731888279193502,0.12792961137002318,0.18455754988215223,0.0008983495726917613,0.0008983495726917613,0.0027373738692541678,0.008731911579669313,0.12792965504231404,0.1845577367669306
571251.0,571251.0,233,2020,7692.0,28.556320190429688,-32.3898811340332,Extreme,2020-08-20,32,2020-08-09,2020-08-23,15,LC08_169082_20200821,348.96376706253153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016890435872156048,0.0016890435872156048,0.017558273983631613,0.06442084474197553,0.240230262970606,0.33784988452308756,0.0015175147474522418,0.0015175147474522418,0.009608666493588425,0.0605265029064835,0.21678181483487263,0.31443586717342625,0.0016927863786668897,0.0016927863786668897,0.01755788588180509,0.06441675646116653,0.24023154569050761,0.33784838364959435,0.0015340886042135016,0.0015340886042135016,0.01355132273044852,0.10351132807562044,0.23629863539140386,0.3378672491209656,0.0015389465775568537,0.0015389465775568537,0.013551052088258294,0.10741641011459119,0.2402065747575693,0.3378672260020837,0.0015389413256089105,0.0015389413256089105,0.013551013360271603,0.1074164182126797,0.2402063241377009,0.3378672260020837
575454.0,575454.0,224,2020,7692.0,26.467737197875977,-32.147335052490234,Extreme,2020-08-11,34,2020-08-11,2020-08-14,4,LC08_170082_20200812,43.40448149999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008233847016760174,0.0008233847016760174,0.0008233847016760174,0.0027419978723609837,0.014613775972899609,0.03218767131949716,0.0006226324867384341,0.0006226324867384341,0.0006226324867384341,0.0006226324867384341,0.004721015294794181,0.016551084935431715,0.0008420532219595219,0.0008420532219595219,0.0008420532219595219,0.0027430624305405014,0.016566863567569843,0.03413445948631678,0.0006092855885654662,0.0006092855885654662,0.0006092855885654662,0.0006092855885654662,0.004715293118674108,0.020479906763966,0.0006089030552470236,0.0006089030552470236,0.0006089030552470236,0.0006089030552470236,0.0047160899465724946,0.02048278291062528,0.0006089052985217189,0.0006089052985217189,0.0006089052985217189,0.0006089052985217189,0.004716082462124368,0.02048278291062528
252336.0,252336.0,238,2020,7692.0,27.33012008666992,-32.12936782836914,Extreme,2020-08-25,35,2020-08-24,2020-08-31,8,LC08_170082_20200828,71.87359217968744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007823413303116577,0.0007823413303116577,0.0007823413303116577,0.002737455737299254,0.016569160740006323,0.04001974937683784,0.0005724771075578949,0.0005724771075578949,0.0005724771075578949,0.0005724771075578949,0.008710683149531915,0.024368026601964465,0.0007912968586821154,0.0007912968586821154,0.0007912968586821154,0.002737127931661048,0.01657028928075541,0.04002137295949896,0.0004978187713266812,0.0004978187713266812,0.0004978187713266812,0.0004978187713266812,0.0067556866630293895,0.028287174053312023,0.0004984063864669055,0.0004984063864669055,0.0004984063864669055,0.0004984063864669055,0.006754526929629603,0.028288055464202363,0.0004984076278817629,0.0004984076278817629,0.0004984076278817629,0.0004984076278817629,0.006754539526158735,0.028288055464202363
438894.0,438894.0,244,2020,7805.0,29.086326599121094,-31.947460174560547,High,2020-08-31,54,2020-08-13,2020-08-31,19,LC08_168082_20200814,341.14171169061984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010875388985039935,0.0010875388985039935,0.004812768304557235,0.018530421504853466,0.11620031070939492,0.17871141852431005,0.001036811471716895,0.001036811471716895,0.0027467086306646555,0.008726872818702486,0.10644083363531211,0.16113261437847834,0.001093853903015809,0.001093853903015809,0.004812502194478496,0.020482215914968828,0.11816104992893586,0.17871740047868,0.0010651486183048298,0.0010651486183048298,0.0027476691158663477,0.01068571052992796,0.12989302969139552,0.20798689166823348,0.0016067009882186599,0.0016067009882186599,0.0016067009882186599,0.009523899850172426,0.1425708902167028,0.21682069706034793,0.0016066886785087425,0.0016066886785087425,0.0016066886785087425,0.009523988511937559,0.1425709508171501,0.21682069706034793
663063.0,663063.0,229,2020,2903.0,25.03717041015625,-31.493810653686523,Medium,2020-08-16,58,2020-08-16,2020-08-24,9,LC08_171082_20200819,2.44417858984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007921508702738258,0.0007921508702738258,0.0027948128192072765,0.006778795533124784,0.024385987364236094,0.038044331564372764,0.0006071209626849226,0.0006071209626849226,0.0006071209626849226,0.004801455711044088,0.022439476220089575,0.03804770174128859,0.000795812370997942,0.000795812370997942,0.002796168455959856,0.006777779805176652,0.02438477926746561,0.03803955514869622,0.0005938749112987295,0.0005938749112987295,0.0005938749112987295,0.004800489208741818,0.022443598765664166,0.039997258950476094,0.0005936488545594971,0.0005936488545594971,0.0005936488545594971,0.004799996569455547,0.024392486357011304,0.039997596379414246,0.0005936497305632748,0.0005936497305632748,0.0005936497305632748,0.004799983973048704,0.024392486357011304,0.039997596379414246
258776.0,258776.0,215,2020,2903.0,25.324630737304688,-31.10079765319824,Medium,2020-08-02,103,2020-08-02,2020-08-04,3,LC08_171081_20200803,0.5390984414062501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000529407708888878,0.000529407708888878,0.000529407708888878,0.004818033884861782,0.016557934723154755,0.030224353172411875,0.0004410947133995699,0.0004410947133995699,0.0004410947133995699,0.0004410947133995699,0.004732674605365362,0.010640218947597814,0.0005387741004158502,0.0005387741004158502,0.0005387741004158502,0.004820786412472643,0.018515695529330724,0.030231228016227057,0.00039717343309634683,0.00039717343309634683,0.00039717343309634683,0.00039717343309634683,0.00039717343309634683,0.013459918773365949,0.00040085343625794097,0.00040085343625794097,0.00040085343625794097,0.00040085343625794097,0.00040085343625794097,0.013467099558897595,0.0004008646909352004,0.0004008646909352004,0.0004008646909352004,0.0004008646909352004,0.0004008646909352004,0.013466861530879197
512238.0,512238.0,236,2020,2903.0,29.09980010986328,-31.188383102416992,Medium,2020-08-23,110,2020-08-15,2020-08-23,9,LC08_169081_20200821,376.0968283731763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009728438441057686,0.0009728438441057686,0.004805934961821344,0.016577804859120884,0.09667337858907099,0.19041747474652124,0.0008962891922077271,0.0008962891922077271,0.0027732804016396646,0.008741678272643872,0.09081998408012434,0.16308173075667573,0.0009782094294396334,0.0009782094294396334,0.004806478111107914,0.018532152821265437,0.0986187955465876,0.19041912256798563,0.0013264194465702878,0.0013264194465702878,0.0013264194465702878,0.009582272105593759,0.10350705947255705,0.18946446005355613,0.0013313026070628318,0.0013313026070628318,0.0013313026070628318,0.009580607411604734,0.11133212939583517,0.1972690557827801,0.0013313099279698435,0.0013313099279698435,0.0013313099279698435,0.009580593703620958,0.11133212939583517,0.1972690557827801
